Gene,demo1
ENSG00000137801,466
ENSG00000213934,168
ENSG00000115268,11163
ENSG00000239002,0
ENSG00000169045,18750
ENSG00000197728,6614
ENSG00000181163,24785
ENSG00000211592,2667
ENSG00000122566,64044
ENSG00000130522,9522
ENSG00000087074,10305
ENSG00000167996,8770
ENSG00000110700,16782
ENSG00000114942,20481
ENSG00000067225,69051
ENSG00000116560,16173
ENSG00000087460,41653
ENSG00000169385,27410
ENSG00000121966,14282
ENSG00000101439,5898
ENSG00000221983,19021
ENSG00000229807,3
ENSG00000254772,0
ENSG00000206503,42912
ENSG00000162511,44792
ENSG00000233927,8094
ENSG00000167460,4413
ENSG00000188846,23793
ENSG00000185624,66563
ENSG00000197766,4467
ENSG00000166598,24387
ENSG00000147162,11866
ENSG00000137076,42306
ENSG00000164924,33586
ENSG00000169100,14413
ENSG00000182774,245
ENSG00000163931,57788
ENSG00000142669,11889
ENSG00000115306,9037
ENSG00000187109,18064
ENSG00000136942,14739
ENSG00000118503,1836
ENSG00000231389,16601
ENSG00000065978,33622
ENSG00000114391,11197
ENSG00000153187,34120
ENSG00000100097,3316
ENSG00000115956,15662
ENSG00000196549,3418
ENSG00000189060,15058
ENSG00000143549,46147
ENSG00000105835,16494
ENSG00000172757,32209
ENSG00000130255,9140
ENSG00000197471,37383
ENSG00000211895,1136
ENSG00000196531,8493
ENSG00000197629,26881
ENSG00000222328,0
ENSG00000021355,41212
ENSG00000115524,22664
ENSG00000172809,15307
ENSG00000105810,15489
ENSG00000075426,9720
ENSG00000198918,4729
ENSG00000124882,2207
ENSG00000143878,16500
ENSG00000110848,1420
ENSG00000108518,15466
ENSG00000266412,34533
ENSG00000115053,27231
ENSG00000002586,6499
ENSG00000059804,12583
ENSG00000127022,46938
ENSG00000171223,19509
ENSG00000171858,6721
ENSG00000081237,30364
ENSG00000233276,9636
ENSG00000243716,442
ENSG00000067560,38528
ENSG00000107738,22203
ENSG00000182899,12694
ENSG00000174059,2208
ENSG00000159840,17423
ENSG00000147454,19648
ENSG00000113648,18362
ENSG00000152518,9886
ENSG00000131051,10859
ENSG00000184897,6632
ENSG00000165119,29074
ENSG00000165168,37693
ENSG00000104408,15589
ENSG00000161970,386
ENSG00000137642,26793
ENSG00000160789,1818
ENSG00000127603,10685
ENSG00000144802,4160
ENSG00000105472,3187
ENSG00000164733,13369
ENSG00000196230,54318
ENSG00000198242,9921
ENSG00000009307,22455
ENSG00000189403,23825
ENSG00000265681,177
ENSG00000196126,18178
ENSG00000211896,2900
ENSG00000063046,21192
ENSG00000135535,11516
ENSG00000177575,2464
ENSG00000134419,2742
ENSG00000179820,13461
ENSG00000072274,14241
ENSG00000145741,17917
ENSG00000101347,11933
ENSG00000173020,46889
ENSG00000138071,40464
ENSG00000137309,17556
ENSG00000102879,33264
ENSG00000127528,11766
ENSG00000211899,2711
ENSG00000229117,10277
ENSG00000136826,4708
ENSG00000196262,36667
ENSG00000125538,1946
ENSG00000124766,2880
ENSG00000159140,14340
ENSG00000239839,41360
ENSG00000081320,11162
ENSG00000112096,13715
ENSG00000105223,2493
ENSG00000103187,31967
ENSG00000114353,29126
ENSG00000196565,11
ENSG00000173821,18682
ENSG00000121053,10518
ENSG00000107447,16
ENSG00000197249,28908
ENSG00000212232,36
ENSG00000188404,41184
ENSG00000077097,16817
ENSG00000124575,75
ENSG00000100650,15146
ENSG00000110955,15729
ENSG00000156482,12197
ENSG00000198744,959
ENSG00000196154,9206
ENSG00000166340,22531
ENSG00000179094,719
ENSG00000112773,7007
ENSG00000128272,13828
ENSG00000100644,7611
ENSG00000170571,19489
ENSG00000178209,20198
ENSG00000135218,6703
ENSG00000092199,24766
ENSG00000228253,7389
ENSG00000118816,22866
ENSG00000167552,12202
ENSG00000164104,23918
ENSG00000267519,1850
ENSG00000136527,10477
ENSG00000168066,13366
ENSG00000272398,26176
ENSG00000186468,4468
ENSG00000134333,21648
ENSG00000131236,31080
ENSG00000183283,17865
ENSG00000167615,8105
ENSG00000139644,30017
ENSG00000226777,952
ENSG00000119335,17658
ENSG00000163466,24458
ENSG00000187837,3545
ENSG00000152601,17301
ENSG00000140575,34496
ENSG00000077984,22806
ENSG00000159216,7619
ENSG00000102144,23187
ENSG00000164442,12329
ENSG00000213719,17870
ENSG00000122025,2173
ENSG00000051523,16779
ENSG00000128340,38425
ENSG00000182718,9678
ENSG00000115232,12900
ENSG00000123416,13722
ENSG00000175061,9458
ENSG00000211893,334
ENSG00000173334,6321
ENSG00000172270,17611
ENSG00000123066,9341
ENSG00000101425,48198
ENSG00000123384,10634
ENSG00000019991,5252
ENSG00000005961,1087
ENSG00000152291,17199
ENSG00000168298,338
ENSG00000153201,5608
ENSG00000197747,6782
ENSG00000124491,2428
ENSG00000000938,37343
ENSG00000214548,17
ENSG00000225630,5744
ENSG00000174231,10255
ENSG00000159388,6658
ENSG00000136156,18926
ENSG00000104904,23074
ENSG00000070081,19160
ENSG00000142657,32348
ENSG00000111679,16227
ENSG00000119801,4686
ENSG00000142347,29523
ENSG00000100664,6220
ENSG00000206560,5511
ENSG00000089597,18483
ENSG00000011600,7178
ENSG00000223609,3915
ENSG00000123146,15611
ENSG00000029363,6708
ENSG00000152558,23312
ENSG00000152795,10114
ENSG00000156976,13561
ENSG00000143761,13616
ENSG00000129351,15530
ENSG00000163751,2249
ENSG00000266714,8240
ENSG00000143669,28866
ENSG00000169896,38797
ENSG00000259001,4
ENSG00000281000,0
ENSG00000167004,19621
ENSG00000015479,72
ENSG00000144655,1462
ENSG00000089327,9350
ENSG00000197956,13176
ENSG00000133639,9528
ENSG00000120690,7960
ENSG00000105373,8676
ENSG00000164938,1470
ENSG00000163563,38914
ENSG00000185215,15396
ENSG00000155090,2283
ENSG00000075415,6841
ENSG00000183688,15607
ENSG00000166349,51
ENSG00000125354,5740
ENSG00000204469,18116
ENSG00000168264,10916
ENSG00000132182,15001
ENSG00000109332,16255
ENSG00000147140,17730
ENSG00000116741,18000
ENSG00000139318,9841
ENSG00000160796,24448
ENSG00000151726,17064
ENSG00000223865,6869
ENSG00000171988,4971
ENSG00000092820,9548
ENSG00000157557,3249
ENSG00000060138,5769
ENSG00000266074,3806
ENSG00000107372,6171
ENSG00000185198,2255
ENSG00000070831,19889
ENSG00000135916,4611
ENSG00000096060,6604
ENSG00000170315,3038
ENSG00000168906,9327
ENSG00000116754,5630
ENSG00000067048,4450
ENSG00000202538,10
ENSG00000169246,151
ENSG00000179583,3695
ENSG00000261371,28707
ENSG00000074370,9841
ENSG00000182944,12058
ENSG00000127951,13570
ENSG00000254431,1
ENSG00000078369,20101
ENSG00000116251,4719
ENSG00000080503,9839
ENSG00000170144,17049
ENSG00000131504,20475
ENSG00000237296,92
ENSG00000181222,6460
ENSG00000149516,26652
ENSG00000205581,16050
ENSG00000158578,5182
ENSG00000132465,345
ENSG00000204256,13308
ENSG00000153944,4520
ENSG00000112081,12696
ENSG00000100219,6421
ENSG00000069424,12752
ENSG00000118515,2496
ENSG00000169926,12013
ENSG00000109321,249
ENSG00000180530,5165
ENSG00000013441,3463
ENSG00000144381,12102
ENSG00000207005,10
ENSG00000066336,16640
ENSG00000198830,18472
ENSG00000011422,2470
ENSG00000134294,7500
ENSG00000137841,11516
ENSG00000111669,15392
ENSG00000117632,15468
ENSG00000179344,5633
ENSG00000184678,4673
ENSG00000168036,6059
ENSG00000184640,11518
ENSG00000188529,7121
ENSG00000282885,3
ENSG00000126709,2347
ENSG00000206596,1
ENSG00000196684,3707
ENSG00000152234,9576
ENSG00000105329,15395
ENSG00000254087,14576
ENSG00000196576,8745
ENSG00000166888,15306
ENSG00000169567,3634
ENSG00000114857,5584
ENSG00000117523,13539
ENSG00000134884,7632
ENSG00000005379,2902
ENSG00000273768,20
ENSG00000158615,4969
ENSG00000252010,1
ENSG00000110077,7091
ENSG00000169554,8678
ENSG00000197102,8377
ENSG00000113369,6710
ENSG00000234741,4615
ENSG00000130402,20179
ENSG00000185650,3277
ENSG00000078596,1885
ENSG00000104043,10514
ENSG00000004455,13602
ENSG00000184922,23032
ENSG00000177663,20890
ENSG00000102265,2346
ENSG00000148180,14026
ENSG00000143321,23306
ENSG00000065809,22838
ENSG00000133872,8380
ENSG00000117868,9474
ENSG00000116604,3586
ENSG00000011304,13860
ENSG00000124831,17718
ENSG00000160710,17969
ENSG00000126247,11947
ENSG00000124614,33
ENSG00000158195,14236
ENSG00000118513,14977
ENSG00000158869,8957
ENSG00000147677,10224
ENSG00000146278,4900
ENSG00000123505,4660
ENSG00000104093,11535
ENSG00000145675,4831
ENSG00000057608,14055
ENSG00000147872,1606
ENSG00000138668,15129
ENSG00000142192,19994
ENSG00000076928,15131
ENSG00000028137,17493
ENSG00000123338,12912
ENSG00000107581,15039
ENSG00000132002,3291
ENSG00000278249,0
ENSG00000102317,7215
ENSG00000093072,6709
ENSG00000131143,7975
ENSG00000184007,13685
ENSG00000103335,8868
ENSG00000114867,18661
ENSG00000136286,9839
ENSG00000132424,6295
ENSG00000169397,11756
ENSG00000108848,5671
ENSG00000048740,12365
ENSG00000170458,6035
ENSG00000166825,11226
ENSG00000140718,1828
ENSG00000137193,4309
ENSG00000130741,10524
ENSG00000171522,2240
ENSG00000120063,8471
ENSG00000084207,12121
ENSG00000134516,14543
ENSG00000204388,602
ENSG00000070214,10652
ENSG00000144028,17949
ENSG00000143119,8671
ENSG00000105323,17115
ENSG00000117984,7146
ENSG00000182095,11974
ENSG00000105701,8627
ENSG00000010610,2886
ENSG00000140678,7326
ENSG00000177156,23260
ENSG00000204389,3438
ENSG00000135390,7294
ENSG00000111371,6411
ENSG00000210196,1268
ENSG00000138434,5252
ENSG00000163221,35523
ENSG00000123358,1073
ENSG00000135404,12740
ENSG00000175567,6015
ENSG00000153234,152
ENSG00000163349,11450
ENSG00000180353,19596
ENSG00000102804,2341
ENSG00000108175,6403
ENSG00000127481,10122
ENSG00000107099,19308
ENSG00000059728,17202
ENSG00000168010,15794
ENSG00000133048,4262
ENSG00000071127,13614
ENSG00000112149,1179
ENSG00000100393,7580
ENSG00000130726,11034
ENSG00000013306,8654
ENSG00000102760,2585
ENSG00000182670,6305
ENSG00000198833,8410
ENSG00000090104,511
ENSG00000165732,7446
ENSG00000101160,11509
ENSG00000172236,2899
ENSG00000240342,6021
ENSG00000072778,6471
ENSG00000089280,9056
ENSG00000124193,7108
ENSG00000004399,4495
ENSG00000160883,16905
ENSG00000207389,0
ENSG00000260032,13842
ENSG00000162772,412
ENSG00000172543,998
ENSG00000106682,10688
ENSG00000136068,3551
ENSG00000116679,6655
ENSG00000130985,13296
ENSG00000180448,15797
ENSG00000084070,12242
ENSG00000100941,5948
ENSG00000156860,5358
ENSG00000073756,3103
ENSG00000166913,21191
ENSG00000100129,6808
ENSG00000079246,19967
ENSG00000119707,5165
ENSG00000086758,12678
ENSG00000167613,10062
ENSG00000204103,1918
ENSG00000116701,21858
ENSG00000253729,17285
ENSG00000118705,15833
ENSG00000089820,11067
ENSG00000152818,4580
ENSG00000142864,16260
ENSG00000062716,11902
ENSG00000120899,16899
ENSG00000141480,7751
ENSG00000104852,8901
ENSG00000147274,9670
ENSG00000120885,88
ENSG00000143933,7504
ENSG00000163554,2770
ENSG00000134531,1079
ENSG00000121064,6333
ENSG00000136938,12804
ENSG00000149806,8246
ENSG00000135387,13704
ENSG00000134107,2255
ENSG00000129675,9831
ENSG00000106211,1260
ENSG00000196628,1142
ENSG00000173801,2296
ENSG00000118971,6939
ENSG00000168918,15263
ENSG00000111885,6032
ENSG00000148175,25887
ENSG00000135829,14181
ENSG00000115091,19093
ENSG00000111144,26548
ENSG00000184584,6733
ENSG00000100985,33407
ENSG00000104267,4325
ENSG00000110719,4618
ENSG00000137575,12779
ENSG00000197043,18578
ENSG00000162231,11674
ENSG00000231925,16285
ENSG00000163527,12249
ENSG00000092841,13836
ENSG00000160932,2689
ENSG00000105220,21197
ENSG00000184588,1404
ENSG00000105993,3241
ENSG00000029534,5324
ENSG00000173575,6268
ENSG00000091409,3017
ENSG00000142227,7276
ENSG00000167548,10623
ENSG00000125505,8944
ENSG00000161638,6968
ENSG00000198502,984
ENSG00000165025,22195
ENSG00000198668,16036
ENSG00000064601,3714
ENSG00000169714,11849
ENSG00000177105,9003
ENSG00000113140,1618
ENSG00000197329,4034
ENSG00000042493,8394
ENSG00000109861,7312
ENSG00000170776,9373
ENSG00000102837,3052
ENSG00000196419,12785
ENSG00000140941,4271
ENSG00000060237,16633
ENSG00000072110,27571
ENSG00000108256,9717
ENSG00000179348,2705
ENSG00000130175,11781
ENSG00000141367,16638
ENSG00000225972,252
ENSG00000114978,13821
ENSG00000132205,8105
ENSG00000101265,17491
ENSG00000125810,10790
ENSG00000184357,108
ENSG00000145495,5485
ENSG00000165650,11614
ENSG00000104894,10903
ENSG00000244038,12745
ENSG00000099622,7825
ENSG00000129003,6993
ENSG00000140287,1117
ENSG00000163041,7505
ENSG00000103257,7608
ENSG00000186517,16502
ENSG00000179833,2718
ENSG00000007237,4702
ENSG00000169508,470
ENSG00000005893,12485
ENSG00000115677,14782
ENSG00000170893,91
ENSG00000198771,10997
ENSG00000153922,4795
ENSG00000141682,1620
ENSG00000163191,7907
ENSG00000131171,7788
ENSG00000196776,7631
ENSG00000104763,9575
ENSG00000175390,8812
ENSG00000245164,47
ENSG00000010244,8918
ENSG00000105887,12317
ENSG00000185864,192
ENSG00000197081,21069
ENSG00000170004,4823
ENSG00000076108,8259
ENSG00000142634,14803
ENSG00000135677,8557
ENSG00000185787,8171
ENSG00000005483,6223
ENSG00000131238,16481
ENSG00000135596,10200
ENSG00000100353,7528
ENSG00000153914,2657
ENSG00000082898,12708
ENSG00000178695,8301
ENSG00000123689,5379
ENSG00000177885,19709
ENSG00000130592,15243
ENSG00000132334,6118
ENSG00000148346,20923
ENSG00000091527,12876
ENSG00000140968,3162
ENSG00000110934,10441
ENSG00000105205,3554
ENSG00000099875,8223
ENSG00000241343,137
ENSG00000185862,18427
ENSG00000135679,2664
ENSG00000149781,11153
ENSG00000162909,5879
ENSG00000148773,19985
ENSG00000271503,6995
ENSG00000108953,5493
ENSG00000134308,10659
ENSG00000120705,4937
ENSG00000100813,10368
ENSG00000227706,1
ENSG00000115414,96
ENSG00000182568,3777
ENSG00000168488,9877
ENSG00000113389,1731
ENSG00000108582,10097
ENSG00000186407,12451
ENSG00000060558,2067
ENSG00000100300,8246
ENSG00000005844,6022
ENSG00000184226,6
ENSG00000198563,8110
ENSG00000156030,2370
ENSG00000102854,2
ENSG00000180747,271
ENSG00000109606,7142
ENSG00000117394,3721
ENSG00000104419,7672
ENSG00000136732,5224
ENSG00000100225,6071
ENSG00000149091,11265
ENSG00000110958,10882
ENSG00000110324,5242
ENSG00000198408,6470
ENSG00000147649,15037
ENSG00000185896,12047
ENSG00000185950,4721
ENSG00000153283,1625
ENSG00000172053,6841
ENSG00000113013,10930
ENSG00000197405,13128
ENSG00000120802,10964
ENSG00000116260,7732
ENSG00000276966,223
ENSG00000173442,12199
ENSG00000162889,7740
ENSG00000110367,9198
ENSG00000197903,598
ENSG00000165280,8852
ENSG00000127483,15164
ENSG00000105339,9903
ENSG00000105063,10879
ENSG00000134250,15709
ENSG00000007350,74
ENSG00000196535,8900
ENSG00000115415,5053
ENSG00000111913,12165
ENSG00000188229,9036
ENSG00000078804,984
ENSG00000124126,15046
ENSG00000161203,8750
ENSG00000143799,8724
ENSG00000139641,6904
ENSG00000157106,9774
ENSG00000133318,21740
ENSG00000182578,7116
ENSG00000111229,12654
ENSG00000125148,310
ENSG00000102007,7810
ENSG00000090376,10358
ENSG00000178035,7534
ENSG00000068831,9248
ENSG00000164821,16671
ENSG00000101596,14953
ENSG00000147526,8500
ENSG00000170525,3673
ENSG00000100380,10573
ENSG00000139083,6169
ENSG00000197448,6203
ENSG00000129824,6316
ENSG00000087266,7673
ENSG00000086061,6383
ENSG00000115738,2858
ENSG00000084754,11208
ENSG00000174437,6154
ENSG00000105968,9376
ENSG00000173726,5076
ENSG00000168385,7810
ENSG00000082074,14334
ENSG00000155506,11179
ENSG00000113387,4923
ENSG00000204472,7133
ENSG00000167470,4251
ENSG00000187239,9613
ENSG00000064607,7763
ENSG00000107438,4750
ENSG00000086730,7402
ENSG00000140564,5305
ENSG00000162923,7483
ENSG00000117139,2707
ENSG00000119314,18017
ENSG00000157404,4258
ENSG00000070961,3750
ENSG00000197694,6858
ENSG00000099783,10948
ENSG00000115875,8466
ENSG00000111331,11566
ENSG00000100368,9660
ENSG00000203875,5381
ENSG00000136436,8994
ENSG00000185201,13016
ENSG00000108679,1084
ENSG00000101782,4925
ENSG00000100823,8129
ENSG00000115310,13971
ENSG00000106546,1156
ENSG00000055609,8908
ENSG00000166501,12167
ENSG00000154127,2191
ENSG00000164754,10450
ENSG00000196371,8538
ENSG00000254470,14671
ENSG00000198355,1633
ENSG00000108828,18719
ENSG00000162711,1808
ENSG00000182831,2440
ENSG00000110090,6403
ENSG00000272196,18
ENSG00000069275,10455
ENSG00000005810,6046
ENSG00000237973,2054
ENSG00000148248,13329
ENSG00000142089,3925
ENSG00000005022,7781
ENSG00000137959,2322
ENSG00000099331,11790
ENSG00000197622,11888
ENSG00000033327,3716
ENSG00000155629,9974
ENSG00000100504,18626
ENSG00000100596,9748
ENSG00000120833,249
ENSG00000064115,10341
ENSG00000103222,3909
ENSG00000183255,6652
ENSG00000170759,9032
ENSG00000196547,7651
ENSG00000023191,4917
ENSG00000175215,9969
ENSG00000167173,5354
ENSG00000049323,537
ENSG00000168610,19228
ENSG00000132274,4610
ENSG00000164111,13425
ENSG00000132341,12431
ENSG00000100427,4881
ENSG00000124172,7358
ENSG00000022840,7112
ENSG00000175727,5761
ENSG00000155966,5292
ENSG00000196735,3555
ENSG00000169877,3236
ENSG00000082153,6580
ENSG00000075785,15980
ENSG00000140350,10990
ENSG00000117713,10077
ENSG00000140332,5106
ENSG00000214425,2110
ENSG00000124795,14759
ENSG00000172493,6997
ENSG00000081189,2460
ENSG00000132507,3303
ENSG00000135636,19291
ENSG00000087274,12941
ENSG00000056097,4865
ENSG00000135316,9082
ENSG00000003402,11003
ENSG00000135506,10429
ENSG00000120438,8255
ENSG00000112576,12186
ENSG00000155657,1639
ENSG00000104774,5287
ENSG00000166508,15517
ENSG00000065526,7797
ENSG00000221869,6705
ENSG00000196498,6671
ENSG00000252481,0
ENSG00000168071,13460
ENSG00000002834,21585
ENSG00000111011,3806
ENSG00000256235,1661
ENSG00000204463,10857
ENSG00000197111,4216
ENSG00000113916,11327
ENSG00000159339,22000
ENSG00000018280,8967
ENSG00000090060,13693
ENSG00000110876,11366
ENSG00000125753,17804
ENSG00000133226,6649
ENSG00000118855,8301
ENSG00000177733,8340
ENSG00000244879,2124
ENSG00000163346,2803
ENSG00000067167,8123
ENSG00000004468,2972
ENSG00000145287,15703
ENSG00000079805,9022
ENSG00000182179,3879
ENSG00000177731,6782
ENSG00000131149,7780
ENSG00000058668,11294
ENSG00000059588,2060
ENSG00000200320,0
ENSG00000162434,11362
ENSG00000157601,5356
ENSG00000116731,4070
ENSG00000135655,5650
ENSG00000111252,5351
ENSG00000169641,1372
ENSG00000173120,6775
ENSG00000106780,25377
ENSG00000114738,9462
ENSG00000006125,15254
ENSG00000005339,8347
ENSG00000106153,6482
ENSG00000162613,7230
ENSG00000121316,12251
ENSG00000151651,9867
ENSG00000165030,1775
ENSG00000068697,2658
ENSG00000104824,6513
ENSG00000086548,37048
ENSG00000126561,7700
ENSG00000075420,5692
ENSG00000101972,10906
ENSG00000014216,8016
ENSG00000106948,10559
ENSG00000182511,8816
ENSG00000151883,6187
ENSG00000131042,6807
ENSG00000138834,8553
ENSG00000101367,8128
ENSG00000146112,8933
ENSG00000203812,15
ENSG00000132589,17887
ENSG00000136490,6373
ENSG00000114120,2331
ENSG00000157540,5088
ENSG00000133246,8964
ENSG00000198625,4297
ENSG00000125772,4407
ENSG00000160014,12942
ENSG00000213639,5891
ENSG00000171490,5845
ENSG00000184014,8669
ENSG00000163902,14453
ENSG00000117410,5006
ENSG00000186716,4701
ENSG00000158373,827
ENSG00000159023,9899
ENSG00000058262,9792
ENSG00000123143,9352
ENSG00000143162,4919
ENSG00000197157,10553
ENSG00000120742,7338
ENSG00000124762,2931
ENSG00000101445,252
ENSG00000077549,10799
ENSG00000247556,10326
ENSG00000066294,3698
ENSG00000092929,11735
ENSG00000100364,7246
ENSG00000142798,2000
ENSG00000158050,307
ENSG00000124469,32446
ENSG00000147416,6395
ENSG00000146247,4875
ENSG00000078674,8356
ENSG00000132819,3528
ENSG00000130775,7474
ENSG00000095787,11050
ENSG00000136869,8835
ENSG00000088832,11179
ENSG00000152520,3981
ENSG00000160888,4217
ENSG00000162704,13756
ENSG00000113580,4733
ENSG00000172794,3843
ENSG00000173193,7560
ENSG00000100503,11740
ENSG00000127616,6019
ENSG00000124731,3613
ENSG00000117335,7559
ENSG00000169813,16020
ENSG00000073921,12081
ENSG00000161547,6364
ENSG00000089737,4146
ENSG00000091317,10481
ENSG00000121774,9838
ENSG00000167986,9461
ENSG00000124422,10405
ENSG00000156052,11400
ENSG00000114126,4056
ENSG00000155096,9429
ENSG00000116489,15036
ENSG00000112697,5871
ENSG00000149311,5930
ENSG00000064666,14370
ENSG00000140526,11053
ENSG00000125534,3566
ENSG00000134954,7775
ENSG00000116584,9889
ENSG00000112062,12127
ENSG00000129128,8454
ENSG00000122359,16239
ENSG00000113719,4872
ENSG00000124486,5733
ENSG00000204257,3764
ENSG00000122545,7808
ENSG00000157637,14141
ENSG00000198520,7016
ENSG00000153827,10165
ENSG00000052749,2263
ENSG00000090621,4641
ENSG00000035403,15231
ENSG00000163956,7432
ENSG00000185811,14083
ENSG00000156675,5156
ENSG00000133030,3299
ENSG00000171862,10600
ENSG00000174099,4439
ENSG00000172534,11145
ENSG00000184557,4032
ENSG00000197226,5552
ENSG00000205189,970
ENSG00000088882,2464
ENSG00000160593,13159
ENSG00000118640,6058
ENSG00000150093,8495
ENSG00000101336,9222
ENSG00000204482,6251
ENSG00000140105,6508
ENSG00000109046,7869
ENSG00000143507,697
ENSG00000179051,10069
ENSG00000115935,14614
ENSG00000131446,8334
ENSG00000109736,8691
ENSG00000163659,1300
ENSG00000054654,5711
ENSG00000161960,394
ENSG00000145703,7541
ENSG00000166226,4969
ENSG00000172932,8229
ENSG00000130508,10
ENSG00000089248,9455
ENSG00000113282,6689
ENSG00000186635,14165
ENSG00000198961,8773
ENSG00000012779,13990
ENSG00000156273,5211
ENSG00000115271,12906
ENSG00000083799,4163
ENSG00000115758,6768
ENSG00000113269,5260
ENSG00000143621,7322
ENSG00000100902,306
ENSG00000189067,13507
ENSG00000207513,0
ENSG00000099860,1741
ENSG00000087365,11002
ENSG00000117450,1892
ENSG00000203747,5000
ENSG00000198728,6942
ENSG00000178719,4248
ENSG00000180370,12136
ENSG00000123405,7231
ENSG00000182162,7082
ENSG00000277443,581
ENSG00000008083,5018
ENSG00000137876,3583
ENSG00000105397,9843
ENSG00000122565,7870
ENSG00000086232,5549
ENSG00000007062,1656
ENSG00000167895,15225
ENSG00000168461,22822
ENSG00000138964,5537
ENSG00000117616,4095
ENSG00000127314,10183
ENSG00000102034,6271
ENSG00000132510,3676
ENSG00000169403,6070
ENSG00000148730,14249
ENSG00000139278,3177
ENSG00000141959,7976
ENSG00000172936,9757
ENSG00000110422,8783
ENSG00000100242,6867
ENSG00000101474,14263
ENSG00000118680,8738
ENSG00000276043,5599
ENSG00000063244,9519
ENSG00000127914,4373
ENSG00000122257,3440
ENSG00000106624,757
ENSG00000115760,5854
ENSG00000104738,18647
